[2025-01-22T13:39:00.869031+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:39:00) [] []
[2025-01-22T13:39:00.869145+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:39:00) [] []
[2025-01-22T13:39:00.869201+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:39:00) [] []
[2025-01-22T13:39:00.869253+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:39:00) [] []
[2025-01-22T13:39:00.869304+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:39:00) [] []
[2025-01-22T13:39:00.869354+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:39:00) [] []
[2025-01-22T13:39:00.869402+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:39:00) [] []
[2025-01-22T13:39:00.869451+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:39:00) [] []
[2025-01-22T13:39:00.869499+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:39:00) [] []
[2025-01-22T13:39:00.869560+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:39:00) [] []
[2025-01-22T13:39:00.869618+00:00] App\Storage\Logs\AppLogger.ERROR: ScriptError: HY000: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away. | (22-01-2025 13:39:00) [] []
